name,budget.x,company.x,country.x,director.x,genre.x,gross.x,rating.x,released.x,runtime.x,score.x,star.x,votes.x,writer.x,year.x,YoutubeLikes,YoutubeDislike,Youtube ViewCount,Twitter Sentiment
How Do You Know,120000000,Columbia Pictures,USA,James L. Brooks,Comedy,30212620,PG-13,17/12/2010,100,5.4,Reese Witherspoon,37605,James L. Brooks,2010,1951,143,1585045,1
How I Live Now,0,BFI Film Fund,UK,Kevin Macdonald,Drama,60213,R,04/10/2013,101,6.5,Saoirse Ronan,23772,Meg Rosoff,2013,1222,21,,1
How to Be Single,38000000,New Line Cinema,USA,Christian Ditter,Comedy,46813366,R,12/02/2016,110,6.1,Dakota Johnson,63520,Abby Kohn,2016,38381,1993,,1
How to Lose Friends & Alienate People,27000000,Number 9 Films,UK,Robert B. Weide,Biography,2778752,R,03/10/2008,110,6.5,Simon Pegg,63297,Peter Straughan,2008,1185,38,301119,1
How to Train Your Dragon,165000000,DreamWorks Animation,USA,Dean DeBlois,Animation,217581231,PG,26/03/2010,98,8.1,Jay Baruchel,538360,William Davies,2010,50925,857,4630163,1
How to Train Your Dragon 2,145000000,DreamWorks Animation,USA,Dean DeBlois,Animation,177002924,PG,13/06/2014,102,7.8,Jay Baruchel,243596,Dean DeBlois,2014,29595,960,,2
Hugo,150000000,Paramount Pictures,USA,Martin Scorsese,Adventure,73864507,PG,23/11/2011,126,7.5,Asa Butterfield,264187,John Logan,2011,1274,75,363762,0
Hunger,0,Film4,Ireland,Steve McQueen,Biography,154084,NOT RATED,10/09/2010,96,7.6,Stuart Graham,56117,Enda Walsh,2008,255535,8038,30104009,1
Hunt for the Wilderpeople,0,Piki Films,New Zealand,Taika Waititi,Adventure,5202582,PG-13,31/03/2016,101,7.9,Sam Neill,60530,Taika Waititi,2016,5826,178,,1
Hyde Park on Hudson,0,Daybreak Pictures,UK,Roger Michell,Biography,6367780,R,01/02/2013,94,5.9,Bill Murray,9985,Richard Nelson,2012,155,27,,1
Hysteria,0,Informant Media,UK,Tanya Wexler,Comedy,1800000,R,31/08/2012,100,6.7,Maggie Gyllenhaal,27231,Stephen Dyer,2011,244552,6279,62188798,1
I'll See You in My Dreams,0,Two Flints,USA,Brett Haley,Comedy,7425963,PG-13,15/05/2015,92,6.7,Blythe Danner,5282,Marc Basch,2015,2185,59,,1
I'm So Excited!,0,"Deseo, El",Spain,Pedro Almodóvar,Comedy,1367846,R,05/07/2013,90,5.6,Javier Cámara,18657,Pedro Almodóvar,2013,131519,5707,,1
I'm Still Here,0,They Are Going to Kill Us Productions,USA,Casey Affleck,Comedy,408719,R,07/10/2011,108,6.2,Joaquin Phoenix,17059,Casey Affleck,2010,264544,4307,19823973,0
I Am Legend,150000000,Warner Bros.,USA,Francis Lawrence,Drama,256386216,PG-13,14/12/2007,101,7.2,Will Smith,579646,Mark Protosevich,2007,7829,320,1881646,0
I Am Love,0,First Sun,Italy,Luca Guadagnino,Drama,5005465,R,23/07/2010,120,7,Tilda Swinton,15445,Barbara Alberti,2009,950,39,500273,1
I Am Number Four,60000000,DreamWorks,USA,D.J. Caruso,Action,55100437,PG-13,18/02/2011,109,6.1,Alex Pettyfer,205616,Alfred Gough,2011,18520,1592,3386240,0
I Can't Think Straight,0,Enlightenment Productions,UK,Shamim Sarif,Drama,39373,PG-13,2008-11,82,6.7,Lisa Ray,6352,Shamim Sarif,2008,548,5,24868,1
I Can Do Bad All by Myself,13000000,"Tyler Perry Company, The",USA,Tyler Perry,Comedy,51733921,PG-13,11/09/2009,100,4.2,Tyler Perry,8640,Tyler Perry,2009,24809,665,2015817,2
I Give It a Year,0,StudioCanal,UK,Dan Mazer,Comedy,32514,R,08/02/2013,97,5.7,Rose Byrne,31956,Dan Mazer,2013,2767,249,,1
I Hope They Serve Beer in Hell,0,Rudius Films,USA,Bob Gosse,Comedy,1425993,R,25/09/2009,105,5.3,Matt Czuchry,7631,Tucker Max,2009,87,7,6581,1
I Know Who Killed Me,12000000,360 Pictures,USA,Chris Sivertson,Mystery,7498716,R,27/07/2007,100,3.6,Lindsay Lohan,23832,Jeff Hammond,2007,192,21,38848,1
"I Love You, Beth Cooper",18000000,Fox Atomic,Canada,Chris Columbus,Comedy,14793904,PG-13,10/07/2009,102,5.3,Hayden Panettiere,29845,Larry Doyle,2009,811,56,146990,1
"I Love You, Man",40000000,DreamWorks,USA,John Hamburg,Comedy,71440011,R,20/03/2009,105,7,Paul Rudd,174712,John Hamburg,2009,87,9,2468240,1
I Now Pronounce You Chuck & Larry,85000000,Universal Pictures,USA,Dennis Dugan,Comedy,120059556,PG-13,20/07/2007,115,6,Adam Sandler,126092,Barry Fanaro,2007,5042,448,1842557,1
I Origins,0,Verisimilitude,USA,Mike Cahill,Drama,334658,R,19/09/2014,106,7.3,Michael Pitt,90264,Mike Cahill,2014,12469,780,,2
I Saw the Devil,0,Softbank Ventures,South Korea,Jee-woon Kim,Action,128392,NOT RATED,12/08/2010,141,7.8,Byung-hun Lee,81507,Jee-woon Kim,2010,12,3,2146190,2
I Saw the Light,13000000,Bron Studios,USA,Marc Abraham,Biography,1646468,R,01/04/2016,123,5.7,Tom Hiddleston,4460,Marc Abraham,2015,2375,61,,1
I Spit on Your Grave,2000000,Cinetel Films,USA,Steven R. Monroe,Crime,93051,R,04/03/2011,108,6.3,Sarah Butler,61717,Adam Rockoff,2010,362,64,46110,0
I Spit on Your Grave 2,0,Cinetel Films,USA,Steven R. Monroe,Crime,441,R,19/01/2014,106,5.7,Jemma Dallender,21070,Neil Elman,2013,2479,559,,1
I Think I Love My Wife,0,Fox Searchlight Pictures,USA,Chris Rock,Comedy,12550605,R,16/03/2007,94,5.5,Chris Rock,14233,Chris Rock,2007,226,19,43138,1
