budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year,Likes,Dislike
0,Twentieth Century Fox Film Corporation,USA,Kevin Reynolds,Drama,14732623,Tristan + Isolde,PG-13,13-01-2006,100,6.9,James Franco,46906,Dean Georgaris,2006,23661,616
55000000,Columbia Pictures Corporation,Germany,Steven Zaillian,Drama,7221458,All the King's Men,PG-13,22-09-2006,128,6.2,Sean Penn,21583,Steven Zaillian,2006,5257,53
20000000,New Regency Pictures,USA,Aaron Seltzer,Comedy,48548426,Date Movie,PG-13,17-02-2006,83,2.7,Alyson Hannigan,52303,Jason Friedberg,2006,1517,131
13000000,Victoires International,France,Olivier Assayas,Comedy,4857376,"Paris, je t'aime",R,15-06-2007,120,7.3,Juliette Binoche,65342,Tristan Carné,2006,906,32
80000000,Twentieth Century Fox Animation,USA,Carlos Saldanha,Animation,195330621,Ice Age: The Meltdown,PG,31-03-2006,91,6.9,Ray Romano,211943,Peter Gaulke,2006,484,199
0,Sweet Tea Pictures LLC,USA,Chris Robinson,Comedy,21160089,ATL,PG-13,31-03-2006,105,6,T.I.,8872,Tina Gordon Chism,2006,20,5
5000000,The Weinstein Company,USA,Kevin Smith,Comedy,24138847,Clerks II,R,21-07-2006,97,7.4,Brian O'Halloran,119342,Kevin Smith,2006,468,17
64000000,Revolution Studios,USA,Keenen Ivory Wayans,Comedy,58645052,Littleman,PG-13,14-07-2006,100,4.3,Shawn Wayans,42365,Keenen Ivory Wayans,2006,425,97
0,Columbia Pictures Corporation,USA,Susannah Grant,Comedy,15269668,Catch and Release,PG-13,26-01-2007,112,6,Jennifer Garner,19855,Susannah Grant,2006,396126,9850
17000000,New Line Cinema,Germany,Wayne Kramer,Action,6855137,Running Scared,R,24-02-2006,122,7.4,Paul Walker,91057,Wayne Kramer,2006,10050,273
0,Film Finance,Australia,Neil Armfield,Drama,44720,Candy,R,25-05-2006,108,7.3,Heath Ledger,38145,Luke Davies,2006,95440,3249
17000000,Universal Pictures,France,Richard Kelly,Comedy,275380,Southland Tales,R,07-12-2007,145,5.5,Dwayne Johnson,33669,Richard Kelly,2006,2759,287
